PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,MIN,AVG_SPEED_OFF,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,HEIGHT
Stephen Curry,201939,GSW,34,5.12,0.446,0.554,0.339,0.508,0.072,0.211,0.158,0.268,75
DeMar DeRozan,201942,TOR,35,4.41,0.899,0.101,0.62,0.077,0.231,0.077,0.131,0.389,79
Jrue Holiday,201950,NOP,33,4.95,0.723,0.277,0.593,0.24,0.156,0.104,0.126,0.437,76
Darren Collison,201954,SAC,30,4.36,0.72,0.28,0.56,0.252,0.203,0.288,0.232,0.357,72
DeMarre Carroll,201960,TOR,26,4.21,0.563,0.437,0.413,0.483,0.049,0.182,0.245,0.364,80
Dante Cunningham,201967,NOP,25,4.89,0.578,0.422,0.541,0.341,0.14,0.192,0.176,0.401,80
Jonas Jerebko,201973,BOS,16,4.69,0.622,0.378,0.441,0.379,0.071,0.082,0.171,0.371,82
Patrick Beverley,201976,HOU,30,4.72,0.478,0.522,0.383,0.531,0.074,0.169,0.174,0.309,73
Marcus Thornton,201977,WAS,17,4.29,0.502,0.498,0.424,0.463,0.122,0.139,0.156,0.302,76
Danny Green,201980,SAS,27,4.73,0.378,0.622,0.332,0.608,0.094,0.213,0.187,0.238,78
Patty Mills,201988,SAS,22,5.29,0.477,0.523,0.397,0.535,0.214,0.119,0.142,0.183,72
Wesley Matthews,202083,DAL,35,4.3,0.385,0.615,0.291,0.58,0.127,0.097,0.154,0.164,77
John Wall,202322,WAS,36,4.07,0.757,0.243,0.597,0.225,0.247,0.246,0.197,0.35,76
Derrick Favors,202324,UTA,24,4.32,0.995,0.005,0.823,0,0.193,0.019,0.112,0.63,82
Wesley Johnson,202325,LAC,12,4.38,0.4,0.6,0.383,0.563,0.164,0.197,0.175,0.219,79
Greg Monroe,202328,MIL,23,3.95,0.999,0.001,0.812,0,0.091,0.042,0.151,0.721,83
Al-Farouq Aminu,202329,POR,29,4.52,0.515,0.485,0.412,0.451,0.083,0.114,0.137,0.329,81
Gordon Hayward,202330,UTA,35,4.58,0.659,0.341,0.479,0.272,0.138,0.139,0.202,0.341,80
Paul George,202331,IND,36,4.45,0.609,0.391,0.422,0.336,0.189,0.14,0.201,0.233,81
