PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,OPP_FGM_RA,OPP_FGA_RA,OPP_FG_PCT_RA,OPP_FGM_NRA,OPP_FGA_NRA,OPP_FG_PCT_NRA,OPP_FGM_MR,OPP_FGA_MR,OPP_FG_PCT_MR,OPP_FGM_LC3,OPP_FGA_LC3,OPP_FG_PCT_LC3,OPP_FGM_RC3,OPP_FGA_RC3,OPP_FG_PCT_RC3,OPP_FGM_AB3,OPP_FGA_AB3,OPP_FG_PCT_AB3,OPP_FGM,OPP_FGA,OPP_FG_PCT
203915,Spencer Dinwiddie,1610612741,CHI,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,
201150,Spencer Hawes,1610612766,CHA,28.0,2.4,5.8,0.414,1.2,3.6,0.333,1.2,4.6,0.261,0.0,1.5,0.0,0.5,2.0,0.25,0.2,2.2,0.091,0.0,0.5,0.0
1626169,Stanley Johnson,1610612765,DET,20.0,4.8,8.8,0.543,2.5,6.8,0.37,3.0,7.0,0.429,0.8,1.8,0.429,0.8,2.5,0.3,3.8,9.5,0.395,0.0,0.0,0.0
201939,Stephen Curry,1610612744,GSW,28.0,12.2,20.7,0.591,3.2,9.5,0.339,5.4,13.1,0.415,0.8,2.5,0.333,0.8,2.1,0.368,4.8,14.2,0.341,0.0,0.2,0.0
2581,Steve Blake,1610612765,DET,36.0,3.3,4.8,0.684,1.8,3.5,0.5,1.5,4.5,0.333,0.5,0.5,1.0,0.8,2.0,0.375,2.3,5.5,0.409,0.0,0.0,0.0
203500,Steven Adams,1610612760,OKC,22.0,9.3,17.0,0.549,3.1,7.5,0.407,6.4,14.6,0.439,0.8,1.8,0.467,0.8,1.9,0.441,4.3,11.2,0.386,0.0,0.2,0.0
203082,Terrence Ross,1610612761,TOR,25.0,5.0,7.8,0.635,1.9,4.2,0.458,2.9,7.2,0.399,0.3,0.9,0.333,0.8,1.3,0.6,1.9,4.9,0.378,0.0,0.3,0.0
1626179,Terry Rozier,1610612738,BOS,22.0,7.2,13.4,0.537,2.4,3.4,0.706,2.8,7.2,0.389,0.4,1.4,0.286,0.6,0.8,0.75,1.8,9.4,0.191,0.0,0.0,0.0
200757,Thabo Sefolosha,1610612737,ATL,32.0,6.2,14.3,0.434,1.1,2.8,0.393,2.9,7.0,0.414,1.4,2.7,0.542,1.3,2.4,0.545,3.1,9.3,0.333,0.0,0.1,0.0
1495,Tim Duncan,1610612759,SAS,40.0,6.4,13.5,0.474,1.3,4.3,0.302,4.5,10.2,0.441,0.3,2.0,0.15,0.4,1.4,0.286,1.9,5.7,0.333,0.0,0.2,0.0
203501,Tim Hardaway Jr.,1610612737,ATL,24.0,3.5,6.1,0.571,0.1,1.3,0.1,1.4,3.8,0.367,0.3,1.0,0.286,1.0,1.3,0.75,1.8,6.3,0.28,0.0,0.2,0.0
202389,Timofey Mozgov,1610612739,CLE,29.0,1.7,2.9,0.594,0.6,1.6,0.375,0.6,2.5,0.25,0.7,1.0,0.667,0.3,0.8,0.429,1.2,2.8,0.424,0.0,0.0,0.0
202699,Tobias Harris,1610612765,DET,23.0,9.5,16.3,0.585,2.5,7.3,0.345,6.3,15.5,0.403,1.0,2.8,0.364,2.5,6.0,0.417,8.3,20.3,0.407,0.0,0.0,0.0
2754,Tony Allen,1610612763,MEM,34.0,7.0,11.0,0.636,2.3,5.8,0.391,3.3,9.3,0.351,0.8,2.0,0.375,2.0,3.0,0.667,1.8,6.8,0.259,0.0,0.0,0.0
2225,Tony Parker,1610612759,SAS,34.0,8.7,18.0,0.483,1.8,5.1,0.353,5.3,12.4,0.427,0.4,2.3,0.174,0.7,1.6,0.429,2.8,7.1,0.394,0.0,0.0,0.0
2772,Trevor Ariza,1610612745,HOU,31.0,14.4,20.6,0.699,3.4,8.8,0.386,4.2,11.8,0.356,0.4,2.6,0.154,2.4,4.4,0.545,6.4,15.4,0.416,0.0,0.4,0.0
202684,Tristan Thompson,1610612739,CLE,25.0,8.9,14.5,0.61,2.9,7.0,0.418,4.0,9.5,0.415,0.8,2.1,0.386,0.8,2.4,0.32,5.0,14.6,0.339,0.0,0.1,0.0
203584,Troy Daniels,1610612766,CHA,24.0,1.0,1.5,0.667,0.0,0.7,0.0,1.3,3.3,0.385,0.0,0.5,0.0,1.0,1.0,1.0,1.3,2.3,0.571,,,
201951,Ty Lawson,1610612754,IND,28.0,3.3,5.7,0.575,0.7,2.1,0.333,1.7,3.7,0.462,0.4,1.4,0.286,0.5,1.0,0.5,1.6,4.7,0.333,0.0,0.0,0.0
201946,Tyler Hansbrough,1610612766,CHA,30.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,2.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,,,
204020,Tyler Johnson,1610612748,MIA,24.0,3.0,4.8,0.625,3.0,5.8,0.522,2.0,6.4,0.313,0.3,1.3,0.2,0.3,0.8,0.333,1.2,3.8,0.316,0.0,0.0,0.0
203092,Tyler Zeller,1610612738,BOS,26.0,4.7,8.7,0.538,0.7,1.3,0.5,1.0,4.3,0.231,0.0,0.3,0.0,0.3,0.3,1.0,1.7,5.3,0.313,0.0,0.0,0.0
2617,Udonis Haslem,1610612748,MIA,36.0,3.0,4.6,0.649,1.1,3.1,0.357,1.3,4.6,0.27,0.4,0.6,0.667,0.3,0.8,0.333,1.8,3.0,0.583,0.0,0.3,0.0
1713,Vince Carter,1610612763,MEM,39.0,8.3,11.8,0.702,1.8,4.5,0.389,4.0,9.8,0.41,1.3,2.0,0.625,2.0,3.0,0.667,2.0,5.3,0.381,0.0,0.0,0.0
202325,Wesley Johnson,1610612746,LAC,28.0,3.2,5.7,0.559,0.3,2.2,0.154,1.7,6.5,0.256,0.0,1.0,0.0,0.0,1.0,0.0,2.2,5.8,0.371,0.0,0.0,0.0
202083,Wesley Matthews,1610612742,DAL,29.0,14.0,19.6,0.714,3.6,11.0,0.327,6.4,12.6,0.508,1.2,2.8,0.429,2.0,3.6,0.556,4.4,13.0,0.338,0.0,0.2,0.0
204098,Xavier Munford,1610612763,MEM,24.0,6.5,9.8,0.667,2.0,6.0,0.333,3.0,8.5,0.353,1.3,2.0,0.625,0.8,1.3,0.6,3.5,7.3,0.483,0.0,0.0,0.0
2216,Zach Randolph,1610612763,MEM,34.0,9.5,14.0,0.679,3.0,7.5,0.4,5.5,13.0,0.423,1.8,3.0,0.583,1.3,2.5,0.5,2.3,7.5,0.3,0.0,0.0,0.0
2585,Zaza Pachulia,1610612742,DAL,32.0,9.2,12.8,0.719,2.6,7.6,0.342,4.8,9.0,0.533,1.0,1.8,0.556,1.4,3.0,0.467,1.4,6.4,0.219,0.0,0.2,0.0
