PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2200,Pau Gasol,1610612741,CHI,72,36,36,2291.0,42,146,638,355,767,0.463
202331,Paul George,1610612754,IND,81,44,37,2819.0,152,29,484,128,237,0.54
200794,Paul Millsap,1610612737,ATL,81,48,33,2647.0,147,139,534,324,658,0.492
1718,Paul Pierce,1610612746,LAC,68,44,24,1231.0,33,17,174,81,166,0.488
203515,Phil Pressey,1610612757,POR,23,3,20,283.0,18,4,28,14,18,0.778
203112,Quincy Acy,1610612758,SAC,58,21,37,869.0,28,24,123,84,162,0.519
1626154,RJ Hunter,1610612738,BOS,35,20,15,307.0,14,4,34,10,13,0.769
200765,Rajon Rondo,1610612758,SAC,71,29,42,2513.0,139,10,355,65,105,0.619
1626176,Rakeem Christmas,1610612754,IND,1,1,0,6.0,0,0,0,0,0,0.0
201196,Ramon Sessions,1610612764,WAS,82,41,41,1667.0,46,5,178,45,79,0.57
200751,Randy Foye,1610612760,OKC,81,37,44,1642.0,39,29,132,51,99,0.515
1626173,Rashad Vaughn,1610612749,MIL,70,30,40,1001.0,29,16,77,35,61,0.574
2446,Rasual Butler,1610612759,SAS,46,41,5,432.0,13,23,53,17,42,0.405
203526,Raul Neto,1610612762,UTA,81,40,41,1499.0,62,2,103,49,96,0.51
203492,Ray McCallum,1610612759,SAS,41,30,11,474.0,12,7,39,18,29,0.621
101109,Raymond Felton,1610612742,DAL,80,40,40,2192.0,68,15,222,67,120,0.558
203493,Reggie Bullock,1610612765,DET,37,22,15,429.0,10,2,54,21,35,0.6
202704,Reggie Jackson,1610612765,DET,79,43,36,2424.0,59,11,195,129,198,0.652
2210,Richard Jefferson,1610612739,CLE,74,51,23,1326.0,33,14,113,50,85,0.588
1626158,Richaun Holmes,1610612755,PHI,51,7,44,702.0,19,40,73,84,177,0.475
201937,Ricky Rubio,1610612750,MIN,76,28,48,2323.0,162,10,286,89,148,0.601
203496,Robert Covington,1610612755,PHI,67,10,57,1903.0,105,40,354,146,260,0.562
203135,Robert Sacre,1610612747,LAL,25,2,23,320.0,4,10,40,43,75,0.573
201577,Robin Lopez,1610612752,NYK,82,32,50,2219.0,16,129,334,298,650,0.458
203918,Rodney Hood,1610612762,UTA,79,39,40,2541.0,73,16,229,80,145,0.552
201155,Rodney Stuckey,1610612754,IND,58,33,25,1275.0,43,8,137,38,66,0.576
1626178,Rondae Hollis-Jefferson,1610612751,BKN,29,7,22,615.0,39,16,115,52,96,0.542
101179,Ronnie Price,1610612756,PHX,62,20,42,1211.0,74,13,74,14,30,0.467
201579,Roy Hibbert,1610612747,LAL,81,17,64,1878.0,32,110,266,257,508,0.506
200752,Rudy Gay,1610612758,SAC,69,29,40,2348.0,99,51,346,135,244,0.553
203497,Rudy Gobert,1610612762,UTA,61,33,28,1932.0,45,135,460,206,502,0.41
203893,Russ Smith,1610612763,MEM,15,6,9,66.0,5,1,8,1,1,1.0
201566,Russell Westbrook,1610612760,OKC,80,55,25,2750.0,163,20,481,93,162,0.574
201583,Ryan Anderson,1610612740,NOP,66,24,42,2008.0,38,25,265,174,305,0.57
200797,Ryan Hollins,1610612763,MEM,37,18,19,460.0,6,21,51,56,118,0.475
203527,Ryan Kelly,1610612747,LAL,36,3,33,470.0,13,10,100,36,64,0.563
1626257,Salah Mejri,1610612742,DAL,34,16,18,397.0,8,36,82,51,131,0.389
1626155,Sam Dekker,1610612745,HOU,3,1,2,6.0,1,0,1,0,0,0.0
201619,Sasha Kaun,1610612739,CLE,25,18,7,95.0,4,5,14,10,23,0.435
2756,Sasha Vujacic,1610612752,NYK,61,22,39,908.0,34,5,123,42,72,0.583
203930,Sean Kilpatrick,1610612751,BKN,31,7,24,616.0,12,2,44,19,27,0.704
201586,Serge Ibaka,1610612760,OKC,78,54,24,2500.0,38,148,392,257,590,0.436
203508,Sergey Karasev,1610612751,BKN,40,9,31,399.0,6,2,50,24,45,0.533
203552,Seth Curry,1610612758,SAC,43,17,26,669.0,21,3,49,18,39,0.462
203498,Shabazz Muhammad,1610612750,MIN,82,29,53,1682.0,24,7,167,63,111,0.568
203894,Shabazz Napier,1610612753,ORL,55,23,32,600.0,23,1,46,17,26,0.654
203499,Shane Larkin,1610612751,BKN,78,20,58,1751.0,95,12,152,68,123,0.553
2733,Shaun Livingston,1610612744,GSW,78,69,9,1520.0,57,27,127,76,120,0.633
203963,Shayne Whittington,1610612754,IND,7,4,3,41.0,1,1,7,3,8,0.375
